autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
Carlos_HenriqueSA,"Salvador, BA","Vale a pena conhecer e passear pelo parque , possui pista para caminhada , bem arborizado e belas paisagens!",Feita em 17 de abril de 2016,Parque Barigui
Luísa P,"Balneário Camboriú, SC","Parque extremamente limpo e cortado por um rio, onde se pode avistar várias aves. Ótimo para caminhadas a pé ou de bicicletas e excelente para piquenique com a família.",Feita em 17 de abril de 2016,Natureza com fotografia de aves.
Rogério N,65 contribuições,Parque muito bonito e bem conservado. Varias opções de lazer e descanso. Tudo muito limpo e bem cuidado para nós paulistanos isso nao é comum de se ver. Fui com os familiares de curitiba e foi muito legal.,Feita em 16 de abril de 2016,Lindo Parque
GabrielaFilgueiras,"Teresópolis, RJ",Que parque incrível!! Bem amplo e bem cuidado.. É afastado do centro da cidade porém vale a visita!! ,Feita em 16 de abril de 2016,Ótimo para passar o dia
Marcia_Girladelo,"São Paulo, SP","O Parque Barigui, tem excelente localização, uma pista para caminhada ou corrida bem extensa, onde você pode escolher vários trajetos de acordo com o tamanho da corrida ou caminhada que deseja fazer. A área verde é linda, conta com um restaurante e barzinho. Durante a semana, a presença é na maioria de pessoas que estão praticando esportes, já no final de semana, o público é na sua maioria de famílias. Existem algumas churrasqueiras ao longo do parque, mas, é preciso chegar cedo para reservar uma delas.",Feita em 16 de abril de 2016,Parque para todas as idades
Amarildo A,"Castanhal, PA","Local lindo e excelente para passear com a família, grande,confortável e com belas paisagens naturais nos arredores, muitas árvores, lagos e restaurantes,além de ficar ao lado de um dos maiores shoppings de Curitiba, Shopping Barigui",Feita em 16 de abril de 2016,"""Lindo"""
josueribeiro13,"Curitiba, PR","Um parque para descanso nos finais de semana, ou até mesmo depois da sua rotina de trabalho, com muitas áreas para se conhecer. ",Feita em 15 de abril de 2016,Maravilhoso
Ariane M,"Curitiba, PR",É um excelente parque!,Feita em 15 de abril de 2016,muito bom
Diego_Coradin,"Colombo, PR","Parque bonito e agradável. Bom para a pratica de esportes, fui para um treino de jiu-jitsu e corrida, Bastante famílias presentes. Vale a pena",Feita em 15 de abril de 2016,Parque Barigui
mariellearaujo39,"Curitiba, PR","alem do Parque tem o Expo Barigui que sempre tem eventos, lugar apropriado pra quem quer fugir da correria do dia a dia, tem muitas famílias andando de bike, fazendo caminhada, passeando com seus animais de estimação.",Feita em 13 de abril de 2016,"Esta em uma localização impar, tem um lago maravilhoso."
WilliansCwb,"Curitiba, PR","Um local agradável para encontrar amigos e ter um pouco de contato com a natureza, tem alguns pontos para visitar bonitos.",Feita em 13 de abril de 2016,Local bonito 
Claudio B,78 contribuições,"É o maior e mais conhecido parque de Curitiba, tem espaço para eventos, pistas de caminhada (onde os curitibanos se encontram), corridas, passeio de bike, bares para encontrar os amigos.",Feita em 13 de abril de 2016,Praia dos Curitibanos
Tiesca S,59 contribuições,"Local excelente para uma boa caminhada ou pratica de exercícios além de muito bonito, bom também para ir passear com a família.",Feita em 13 de abril de 2016,Tudo de bom
karinsbs,"Curitiba, PR","Um parque que pode-se fazer várias atividades: passeios, caminhadas, corridas, levar seu pet para um passeio, entre outras...",Feita em 13 de abril de 2016,Fitness
mauricio_almeida2,"Sorriso, MT","Passei uma tarde toda no parque, muita gente bonita, lugar gostoso de estar e praticar exercícios durante o dia.",Feita em 13 de abril de 2016,Passeio no parque
Maicon S,"Curitiba, PR","Exelente parque para disfrutar com a familia e fazer churrascos de final de semana, com amigos, colegas de trabalho e um excelente espaço para a pratica de esportes.",Feita em 13 de abril de 2016,Parque barigui
Rosangela V,"Recife, PE","parque gigante e muito bem cuidado. com pistas bem separadas para caminhada, corrida, bike, skate ou patins. Vê-se muita gente caminhando com seus cães. para quem quer fazer um piquenique, tem quisques com churrasqueiras, quem chegar primeiro pega .muito bicho solto ( patos, gansos, marrecos, capivaras...)",Feita em 13 de abril de 2016,o melhor parque de Curitiba para passear ou praticar esporte
simonebergmann30,"Joinville, SC","Local agradável para um passeio com a família, lugar tranquilo e muito gostoso com bastante ar puro.",Feita em 13 de abril de 2016,Lazer
Bianca M,3 contribuições,"Excelente parque, ótimo para caminhar ou apenas relaxar.",Feita em 13 de abril de 2016,Passeio
Diego Lepinski,"Imbituba, SC","Um belo parque de Curitiba, para amantes de esportes e até mesmo para tomar uma cerveja com os amigos desfrutando um por do sol! vale muito a pena!",Feita em 13 de abril de 2016,Belo parque para passeio!
Leônidas Z,18 contribuições,"O Parque Barigui dispõem de ampla área gramada, um rio com patos e estacionamento próprio. Contudo, a limpeza do rio nos fundos do parque deixa bastante a desejar.",Feita em 13 de abril de 2016,"Bom, mas falta manutenção"
marciameyer,"União da Vitória, PR","Esse é o parque mais conhecido de Curitiba. As pessoas vão para correr, se exercitar, levar os animais, as crianças ou somente relaxar à beira do lago. Ponto de encontro, aos domingos fica muito lotado. A localização é fácil, bem em frente a um shopping excelente. ",Feita em 13 de abril de 2016,O mais tradicional!
Dóris L,"Porto Alegre, RS","Lugar ideal para uma boa corrida ou caminhada. Misto de agitação e paz. Não sei se ainda estão lá mas quando fui a primeira vez a alguns anos atrás, tinha uma família linda de capivaras.",Feita em 13 de abril de 2016,Ótimo para práticas esportivas
Desire M,16 contribuições,"Organizado, arborizado, espaçoso perfeito para momentos agradáveis em família ou amigos. Espaço de sobra para as crianças.",Feita em 12 de abril de 2016,Uma delicia!
GeniltonPa,"Curitiba, PR","É o parque mais visitado de curitiba, ele tem 2 pistas de corrida, muito bom para corrida, caminhada, andar de bike, passear com a família, um lago bonito, um parque muito gostoso, muitas vagas para estacionar, para tirar foto ótimo, ",Feita em 12 de abril de 2016,Favorito 
Cristhian Farah,23 contribuições,"Parque Barigui é um ponto de encontro para corredores, bikers, passeio com família ou tomar um chopp. Em dias de sol, o visual é lindo e até esquecemos que estamos no meio de uma metrópole.",Feita em 12 de abril de 2016,Qualquer dia de sol
rafaelaseguro,"Curitiba, PR","Perfeito para um domingo ensolarado, passear com o cachorro, fazer uma caminhada ou ir lá apenas para tomar um suco, açaí.",Feita em 12 de abril de 2016,ótimo
RobertaPP948,"Curitiba, PR","Adoro levar meu filho para andar de bicicleta, caminharmos e curtirmos a natureza!",Feita em 12 de abril de 2016,Parque para passeios aos domingos e feriados
Limavendasbbc,"Curitiba, PR","Bom pra quem gosta de um pouco de natureza, bom lugar pra família e crianças, da para praticar caminhada alguns esportes, andar de patins e bicicleta, skates etc, tem alguns patos e capivaras no local. ",Feita em 11 de abril de 2016,Muito bom
Fernando Paiva,"Natal, RN",Tranquilo local. Um dos belos parques de Curitiba. Pena que não pude dispor de mais tempo para contemplar a natureza no local,Feita em 11 de abril de 2016,Um dos belos parques de Curitiba
Carlos Eduardo ... S,"Piracicaba, SP",Quer tranquilidade no Carnaval ... visite os parques de Curitiba e o Parque Barigui foi lugar tranquilo para uma boa caminhada e meus filhos se divertiram andando de skate belos locais apropriados para este tipo de esporte.,Feita em 11 de abril de 2016,Caminhada e gente bonita !!!
Josieli F,"São José dos Pinhais, PR","O parque é lindo, perfeito para uma caminhada ao ar livre, ou um descanso no gramado em um domingo a tarde!",Feita em 11 de abril de 2016,Lindo
jorge henrique ... H,"Rio de Janeiro, RJ","Para quem gosta da natureza e passeios ao ar livre este é um lugar ideal para se fazer o passeio, vale  a pena ir lá",Feita em 11 de abril de 2016,Parque lindo
Flávio M,24 contribuições,"Neste parque a gente encontra muita gente de todas as idades praticando esportes, apenas fazendo um passeio e interagindo com as capivaras que são simbolos do parque. Experiência muito interessante. ",Feita em 11 de abril de 2016,Movimentado e muito Bonito
Doris,"Curitiba, PR","este é um dos muitos parques de Curitiba, talvez não tão bonito quanto outros mas com opções de lazer, inclusive locais com churrasqueiras, restaurantes e um lago muito bonito aonde é possível caminhar em volta. Fica bem movimentado mesmo durante a semana quando as pessoas vão fazer exercícios. Tem um local de exposições com feiras variadas durante o ano.",Feita em 11 de abril de 2016,agradável
Elloysa F,"Curitiba, PR","Parque super agradável, organizado e limpo, ideal para piqueniques com crianças. Só não recomendo aos fins de semana por ser muito cheio.",Feita em 11 de abril de 2016,Parque Barigui.
Danusa Ferreira,"São Gonçalo, RJ","Um lugar super agradável para ir com a família, em casal ou, ate mesmo, sozinho! muito belo e movimentado, ótimo para caminhar, andar de patins, bicicleta ou fazer um piquenique. Rende lindas fotos!",Feita em 11 de abril de 2016,Lindo
Carol B,"Londrina, PR","é um lugar bonito e agradável, porém faltam estruturas para os turistas, não vi nenhum banheiro e nenhum lugar para tomar água.",Feita em 11 de abril de 2016,passeio
ngfranca,"Curitiba, Brazil",Excepcional lugar pra se passear.,Feita em 11 de abril de 2016,Como é bom ir ao Parque Barigui.
Pablini C,21 contribuições,"Lugar muito bonito e ótimo pra fazer um churrasquinho com a família e também para quem curte correr, mas tem outros parques que me agradaram mais.",Feita em 11 de abril de 2016,Mais ou menos
Renan J,"Cascavel, PR","Não é o parque para você caminhar no domingo a tarde, faça isso pela manhã ou em outros dias da semana. No domingo tem muita gente e fica inviável você ter um momento descontraído de caminhada ou corrida.",Feita em 10 de abril de 2016,Não no domingo
Sergio B,"São Paulo, SP","Um dos melhores locais de Curitiba. Vale muito a pena passear pelo parque, até mesmo nos fins de semana, quando fica mais cheio.",Feita em 10 de abril de 2016,Lindo pRaue
Kely L,"Curitiba, PR","ótimo parque para passear, fazer atividade física, passar o dia! a vista do lado é bela, e com alguns locais para comer tbm.",Feita em 10 de abril de 2016,Vista bella
naatyss,5 contribuições,"Ótimo local para quem quer fazer exercício, passear ou levar a família para se divertir. Uma diversidade de coisas enormes, espaços para jogar bola, passear com o cachorro, se exercitar ou tomar uma cerveja em um bar! ",Feita em 10 de abril de 2016,Caminhada
Lucas Almeida,"Berlim, Alemanha","Me mudei para Curitiba em 2008, fui ao parque Barigui em um domingo a tarde e minha experiência não foi das melhores. Tinha muito gente fumando maconha, pessoas bebendo bebidas alcoólicas, carro com som ligado muito alto, pessoas pedindo dinheiro e não tinha policiamento. Eu e minha esposa decidimos ir embora e nunca mais voltamos. Não sei como esta agora, mas a prefeitura de Curitiba tinha abandonado o parque.",Feita em 10 de abril de 2016,Cheio de maconheiro
Zargnus,"Curitiba, PR","Parque referencia para pessoas que querem descansar e também para aqueles que gostam de fazer atividades físicas, pois apresenta 3 faixas. Uma sendo para bicicletas, patins e skate, outra para quem corre e caminha como atividade fisica e outra para quem quer curtir o parque.",Feita em 10 de abril de 2016,Parque
anapaulav_papi,"Curitiba, PR","Local lindo e agradável para caminhada ou outras atividades físicas, até mesmo só para passeio, porém, dependendo o horário, para mim, passa a ser um local não muito seguro (a partir das 19h).",Feita em 10 de abril de 2016,Caminhada
JhuMarta,"Curitiba, PR",Um dos parques mais famosos entre os moradores de Curitiba. Bom para passear e praticar atividades físicas como correr e caminhadas.,Feita em 10 de abril de 2016,Lugar muito gostoso
Alber S,"Maceió, AL","Ótimo lugar para finalizar o dia, ver o espelho de água no pôr do sol e tomar um excelente sorvete na beira das águas.",Feita em 9 de abril de 2016,Passeio de fim de tarde
Patricia C,Balenario Camboriu,Um dos parques mais visitados da cidade se Curitiba! Tem um espaço verde fanstastico e proporciona ao usuario praricar varios tipos de esporte! Um lugar que deve ser visitado se estiver na cidade!! Os curitibanos amam este lugar e tem muito orgulho!!,Feita em 9 de abril de 2016,Parque exemplar
REGIANEREGIS,"Rio de Janeiro, RJ","Como fui com marido e filho, e criança adora brincar foi sensacional!",Feita em 9 de abril de 2016,Show
Leydiana P,"Recife, PE","Excelente lugar para passear com amigos e familiares, ambiente agradável e convidativo para um picnic.",Feita em 9 de abril de 2016,Ambiente familiar
Carlos Eduardo,"Curitiba, PR",Faço corrida todos os dias pela manhã e nunca tive problemas. É um belíssimo local para frequentar com a família.,Feita em 9 de abril de 2016,Lugar agradável
Daiane B,38 contribuições,"O parque Barigui é um dos maiores parques de Curitiba, com várias atrações e uma área verde enorme muito indicada pra quem gosta de correr e se exercitar. Porém é um tanto perigoso , devido aos famosos assaltos pelo parque.",Feita em 9 de abril de 2016,Um dos parques mais visitados de Curitiba
Marcia M,"Brasília, DF","É um verdadeiro desfile de famílias, amigos, crianças com seus brinquedos !",Feita em 9 de abril de 2016,Imperdível em um dia de sol!
Rafael A,"Curitiba, PR","Point dos curitibanos, local de encontro de várias idades gêneros!",Feita em 8 de abril de 2016,Dia de dimingo
molodoviskiasheley,"Curitiba, PR","O parque Barigui um ótimo lugar para curti a paisagem , passear com a família amigos , local pra se distrair e curti momentos bons ao lado de pessoas",Feita em 8 de abril de 2016,Passeio
Michele A,"Curitiba, PR","Meu parque favorito . Bastante amplo, excelente para se praticar esportes de diversos tipos! sempre bastante movimentado.",Feita em 8 de abril de 2016,Para passeios ou atividades físicas
Queliton S,"Curitiba, PR","O parque Barigui e um ótimo lugar para quem procura fazer atividades físicas, tem uma pista em volta do lago para quem é fã de corridas, andar de bike, patins e etc.",Feita em 7 de abril de 2016,Atividades Fisicas
NanySantos,"Campinas, SP","Com amigos, familia, cachorro, gato, patins, skate, bike ou a pé. Parque democrático, extremamente bem cuidado, organizado e lindo!!",Feita em 7 de abril de 2016,Passeio tranquilo fim de tarde
Katia W,"Curitiba, PR","Ótimo local para caminhadas e atividades ao ar livre com a família. Bem localizado, bem cuidado e seguro!",Feita em 7 de abril de 2016,Excelente!
Bruna S,35 contribuições,"O parque é lindo, especial pra quem gosta de praticar atividade física ao ar livre!",Feita em 7 de abril de 2016,Lindo lugar pra caminhar
nelycunha,"Fortaleza, CE","Um ótimo passeio de final de semana com a família, lugar público com muita natureza e com diversas atividades de lazer",Feita em 7 de abril de 2016,Lugar Lindo demais
Leandro Mangini,15 contribuições,"Parque classico de Curitiba, bom para um passeio com a família, ou ate mesmo para quem gosta de um caminhada, corrida, ou um passeio de bicicleta.",Feita em 7 de abril de 2016,Ótimo passeio
angelagorocha,"Curitiba, PR","A pista de caminhada tem 3,5 km, que está dividida em caminhada, corrida e pista para ciclistas. Tem Yoga no parque aos sábados, pela manhã gratuitamente. Banheiros e aparelhos de ginástica para a melhor idade. Estacionamento nas duas entradas do parque. Quiosques para venda de caldo de cana e água de coco, para quem gosta de bebidas saudáveis. Há quiosques que vendem aperitivos e bebidas. Para quem deseja fazer um churrasco com amigos, há algumas churrasqueiras",Feita em 7 de abril de 2016,Caminhada e pedalada noturna
Giovanna A,"Curitiba, PR","Lugar que acolhe qualquer tipo de publico, para realizar diversas atividades como lazer, pratica de esportes, reunião com os amigos, para entrar em contato com a natureza, etc.",Feita em 6 de abril de 2016,Excelente!!!
jehmv2016,"União da Vitória, PR","Um lugar para passear com a família num domingo a tarde , curti com a família , lugar maravilhoso . super recomendo!",Feita em 6 de abril de 2016,Lugar lindo de mais
Alex T,12 contribuições,"Geralmente vou no final de semana, domingo principalmente. Lugar para passear, relaxar e ótimo para dar uma corrida!",Feita em 6 de abril de 2016,Passeios de final de semana
Senakpon,"Juiz de Fora, MG","Foi o primeiro lugar que visitei quando vim pro Brasil. Apesar do frio (porque fui no inverno) o parque estava muito lindo. Dá para fazer passeios legais a sozinho, a dois ou em grupo. Super recomendo.",Feita em 6 de abril de 2016,Ótimo Parque
NANDASCIPI,"Rio de Janeiro, RJ","O Parque possui uma área ampla com equipamentos de ginástica, churrasqueiras, restaurantes, quiosque, museu do automóvel, estação do trem maria fumaça e muito mais. Para quem tem filhos é ideal por ter pista de bicicletas e muita diversão.",Feita em 6 de abril de 2016,Local para ir com crianças
Pedro_Junior,"Campo Largo, PR","O parque mais legal da cidade, várias atrações, apenas as lanchonetes deveriam fechar um pouco mais tarde, mas é o melhor para passeios ao ar livre. ",Feita em 6 de abril de 2016,Top
renato x,"Brasília, Brasil","Quando for a Curitiba, guarde, pelo menos, 2 horas para esse parque maravilhoso. Quem tem criança.. Garanto.. Elas vão adorar... Tem um monte de ganços, patos, passaros e capivaras andando livremente pelo parque.",Feita em 6 de abril de 2016,Top of mind
Carolina S,"Curitiba, PR","Uso o parque Barigui para fazer caminhadas, exercícios físicos, contemplar a natureza, etc. Fica muito perto de onde moro, então não tem como eu não frequentar esse lugar maravilhoso.",Feita em 5 de abril de 2016,Atividade física
karollainne,"Curitiba, PR","É um parque bom para se exercitar, passear com o cachorro e andar de bicicleta, mas prepare-se para um parque bem cheio.",Feita em 5 de abril de 2016,Muito cheio
Casamento Vithy,"Belém, PA","Passeio a tarde para andar de bicicleta, desfrutar da paisagem, fazer a atividade física e comer pipoca.",Feita em 5 de abril de 2016,Belo!
viagem725,Brasil,"Um lugar lindo e calmo ótimo para praticar uma caminhada a dois ou então corrida solitária, alem de um otimo lugar para passar o tempo e pensar na vida.",Feita em 5 de abril de 2016,Incrível.
reremg,"Curitiba, PR","Se você quer ir a algum lugar lindo, cheio de gente, praticar esportes, curtir com amigos, jogar futebol americano, ver capivaras e macacos, esse é o lugar. ótimo para todas as idades. ",Feita em 5 de abril de 2016,parque
Rafael L,"Curitiba, PR",Melhor e maior parque de Curitiba. Muito cheio aos domingos. Gostoso para ir com as crianças. Se puder leve ou alugue uma bicicleta. Sente no gramado e deixe a vida passar um pouco mais devagar.,Feita em 5 de abril de 2016,Melhor parque de Curitiba.
Matheus L,30 contribuições,"O Parque Barigui fica próximo ao Shopping Barigui, com vista maravilhosa. Perfeito para passar um dia em família, com quiosques para realizar almoço em família.",Feita em 5 de abril de 2016,Lindo....
Guilherme Gavanski,"Curitiba, PR","Na minha opinião é o melhor parque para uma boa corrida. Só tome cuidado com horário, certos horários são perigosos. Prefira ir das 7:00 em diante até umas 20:30. ",Feita em 5 de abril de 2016,O melhor!
Kais29,"Belém, PA","Ótimo lugar para se exercitar ao ar livre. Pista para caminhada, corrida, skate, bicicleta. Um bom lugar para as crianças brincarem.",Feita em 5 de abril de 2016,Fazer atividade física
Marilia U,"Belo Horizonte, MG","Área de preservação ambiental, refúgio para animais e bom lugar para praticar esportes e caminhadas.  Antiga sesmaria foi transformado em parque também pelo famoso e inteligente prefeito Jaime Lerner.  O projeto do parque era ajudar a conter as enchentes do Rio Barigui e regular a qualidade do ar,  bem como impedir a ocupação irregular das suas margens  pois tornou as áreas abertas para o público.  Bacana demais. ",Feita em 5 de abril de 2016,Barigui - rio do fruto espinhoso - nome indígena 
Gugadamassa,"João Pessoa, PB","Parque muito bonito , inclusive com capivaras bem pertinho da gente, porém senti falta de policiamento. Mesmo assim, merece uma passada por lá",Feita em 5 de abril de 2016,Falta segurança 
Jean Marcelo P,"Curitiba, PR","um lugar tranquilo, pra você que quer relaxar ou até mesmo dar aquela caminhada, lugar perfeito, bem planejado e muito lindo!",Feita em 4 de abril de 2016,Bom
Filipe Negrello,"Curitiba, PR","Como sempre foi, cada vez melhor um passeio no parque em Curitiba, seja pra caminhar, correr, andar de bike ou de skate, ou simplesmente ir no bar do lago tomar suco, quem vêm a Curitiba precisa conhecer ",Feita em 4 de abril de 2016,Andar de skate Top
SanderTeodoro,"Curitiba, PR","Lugar tranquilo, limpo e com grande espaço aberto. Para praticar atividadades tanto ao ar livre como gastronômica.",Feita em 4 de abril de 2016,O parque favorito do Curitiba
Silvicarneiro,"São Paulo, SP","esse parque é maravilhoso, Curitiba a primeira vista nunca impressiona, é uma cidade bonitinha, mas quanto mais você conhece suas atrações, mais gosta da cidade. é um parque muito bem cuidado e muito agradável. Vale a pena uma caminhada e um caldo de cana. mais uma caminhada e uma água de coco.",Feita em 4 de abril de 2016,"sol, trilhas, bicicletas e cachorros"
Bruna R,"Curitiba, PR","Muito bom o lugar, com muitas sombras e lugar pra fazer aquele churrasquinho. Vale a pena levar os amigos e a família num domingo e alem de tudo tem espaço para atividades fisicas",Feita em 4 de abril de 2016,Ambiente agradavel
antonio d,"Curitiba, PR","Pra mim o melhor parque da cidade muito com para correr andar de bike de patins,skate levar a família e a criançada.",Feita em 4 de abril de 2016,"""Lugar para lazer"""
Valéria D,"Recife, PE","Parque imenso, com muito verde, pista de corrida, animais tipo capivara, jacaré e muita caminhada. Muitas pessoas e algumas mal encaradas. Precisa de segurança. No não lindo lugar",Feita em 4 de abril de 2016,Natureza pura!!!
Bruno P,16 contribuições,"Local ideal para caminhadas, andar de bibicleta, patins, para levar a família e os filhos para um passeio agradável.",Feita em 4 de abril de 2016,Bom
mariliasouza2015,Estado de São Paulo,Esse parque é simplesmente lindo! Ele possui um lago grande e lindo com patos tartarugas e peixes. Tem um bar com a vista para o lago. Um bom lugar para se fazer a refeição. ,Feita em 4 de abril de 2016,Parque Barigui
LucianeMattes,"Porto Velho, RO","Um local que para conhecer é preciso caminhar bastante, tem local para andar de bicicleta, caminhar! um pôr do sol lindo! ",Feita em 3 de abril de 2016,Bela Natureza
Danielle C,"São Paulo, SP","Ótimo local para curtir a natureza, praticar esportes ao ar livre. Recomendável para adultos e crianças.",Feita em 3 de abril de 2016,Linda paisagem
Mirnna_lopes,"Fortaleza, CE","Parque amplo e com muitas pessoas principalmente aos domingos fazendo vários esportes, passeando com animais, reunindo amigos! Encontramos muitas capivaras símbolos da cidade!",Feita em 3 de abril de 2016,Perfeito para um domingo
mirta p,"Curitiba, PR",Adoro ir ao parque barigui para correr! Tem pista com percurso todo demarcado com um pouco mais que 5 km de distancia.,Feita em 3 de abril de 2016,Parque predileto
Anna Beatriz Z,17 contribuições,"Um dos maiores e mais populares parques da cidade, muito procurado por quem pratica esporte ou quer passar o tempo com a família.",Feita em 3 de abril de 2016,Grande e popular
Valdir V,"Portland, OR"," Lago enorme e em ótima condição de limpeza e preservação. Tem capivaras, patos e muito pássaros. Pistas separadas para caminhada, bicicleta e corrida. Alguns bares e um restaurante de boa qualidade. Moderno centro de convenções. Ampla área de estacionamentos. Heliporto com serviço de voos panorâmicos aos domingos. Uma ótima localização, com acesso no início da BR-277, saída para Ponta Grossa. Nas proximidades tem Mc donalds, Havan e um dos melhores shoppings da cidade: Parkshopping barigui.",Feita em 3 de abril de 2016,Melhor parque de Curitiba
Eduardo-da-Costa,"Natal, RN","O parque é sensacional. Sensacional porque dá pra correr, andar de bike, patins, skate, levar os cachorros, os filhos, fazer Ioga, tomar um caldo de cana com pastel, um suco em um dos quiosques, enfim, como todo Curitibano faz, usar o parque como um verdadeiro multiuso de diversão. O parque é cheio de capivaras e outros animais que ficam soltos na sua extensão, abriga em seu espaço feiras automobilísticas e de outros ramos quase sempre. Próximo fica o museu do automóvel o que já facilita como segunda opção.",Feita em 3 de abril de 2016,Reduto verde no meio da linda Curitiba.
Kenny Tsushima,"Curitiba, PR",O parque barigui é dos parques mais movimentados da cidade. Os residentes da cidade costumam caminhar e fazer exercícios diariamente. Há bicicletas elétricas para se alugar no local. Lá que teoricamente mora o famoso jacaré da cidade,Feita em 3 de abril de 2016,O parque mais movimentado da cidade
Ricardo P,"Curitiba, PR","Um parque enorme, com pista para corrida, lago, churrasqueiras, centro de exposições e Museu do Automóvel.",Feita em 3 de abril de 2016,Excelente parque de Curitiba.
Camila Tottene A,36 contribuições,"O parque é bem grande, mas procurado mais por quem gosta de praticar atividade física, fica em frente ao museu de carros, estacionamento grátis, muito longe do centro da cidade, em um bairro mais retirado",Feita em 3 de abril de 2016,Legal
TheoRay,"São Paulo, SP","O parque possui uma excelente localização, pois está em fácil acesso pela rodovia, tem um shopping center ao lado, além de uma paisagem de tirar o fôlego.",Feita em 2 de abril de 2016,Sensacional!!
Aline L,"Bruges, Bélgica","O parque tem uma extensão muito boa para dar uma volta de bike,  correr, andar de patins, ótima área verde pra quem quer apenas descansar, ler um livro ou reunir os amigos para um som.",Feita em 2 de abril de 2016,Esportes ao ar livre
Gabriel G,2 contribuições,Muito bom para prática de esportes e curtir um final de tarde sentado na grama!vale a pena conhecer!!!!!!!,Feita em 2 de abril de 2016,Vale a pena conhecer
Ana Carolina,69 contribuições,O lugar tem um enorme lago com uma pista de caminhada e bicicleta para se exercitar. Conta com a presença de capivaras que adoram banhar-se no lago.,Feita em 2 de abril de 2016,Capivaras!
Debora R,"Telêmaco Borba, PR","Um parque lindo pra passear com a família, caminhar, andar de bike, praticar vários esportes, muito bom mesmo...",Feita em 1 de abril de 2016,Feriadão
Jéssica A,5 contribuições,"Ótimo lugar para se conhecer bem Curitiba. Tem espaços para caminhadas, corridas, lanches, tomar aquele refresco. Tudo de bom.",Feita em 1 de abril de 2016,Passeio
Marina S,11 contribuições,"É ali que você vai encontrar o mascote da cidade. Nos fins de tarde e fins de semana é lotado, difícil achar vaga para estacionar o carro. Por outro lado, um ótimo lugar pra se fazer exercício, caminhar, correr, tomar um açaí, uma água de coco ou passear com o cachorro.",Feita em 1 de abril de 2016,O parque das capivaras
Cezar101,"Palmas, TO","Lugar espetacular, amo fazer exercícios, uma caminhada cheia de inspiração, creio que se vc espera isso aqui o lugar....",Feita em 1 de abril de 2016,Caminha um convite!
Valdo Lopes,"Balneário Camboriú, SC","Uau sendo cercado por áreas verdes e de longe você vê os carros passando, e sentindo aquele gostinho da boa caminhada e sem falar naquelas águas que encantam o parque Barigui, só tem um problema onde você caminha é asfaltado mas tem uns inescrupulosos Marrecos ou Gansos  que não precisa dizer rsrs.",Feita em 1 de abril de 2016,A maior academia a céu aberto
Ana Raquel C,"Curitiba, PR","Ótimo lugar para caminhada, namorar, picnic, eventos, lugar muito bom para a criançada correr a vontade.",Feita em 1 de abril de 2016,Caminhada
gabireichert,"Curitiba, PR","Apesar de ser longe do centro de Curitiba, existem várias opções de ônibus. Bom para quem quer correr, caminhar, deitar na grama, conversar. Possui bares e restaurantes dentro do parque, que é enorme. Sempre são realizadas feiras e eventos no parque. ",Feita em 1 de abril de 2016,Lugar bonito
Thiago S,"Curitiba, PR","Tem amplo estacionamento. Passeio de helicóptero, lanchonetes , quiosque com churrasqueira.",Feita em 31 de março de 2016,A melhor opção num dia ensolarado
Arianne_GH,Estado do Rio de Janeiro,Um dos parques da cidade que merece atenção. Otima área para caminhadas e tb para relaxar ao ar livre e encontrar amigos para picnic.,Feita em 31 de março de 2016,parque do coração da cidade
Quezia M,"Curitiba, PR","Se você gosta de caminhar, o Parque Barigui é a melhor opção em Curitiba. A vista de todos os lados do parque é linda, as pistas de caminhada são espaçosas e o ambiente é bem frequentado.",Feita em 31 de março de 2016,Caminhada
Diane T,"São Paulo, SP",Em dias ensolarados fica super cheio. Não tem muito atrativo. Mas é um ótimo lugar pra fazer piquenique com a família,Feita em 31 de março de 2016,Bonito
Larissa Arraes,"Curitiba, PR","Este parque é lindo e bem tradicional em Curitiba. A pista ao redor do lago é ótima para praticar esportes, passear com cachorro e andar tranquilamente com a família. Porém aos domingos fica completamente lotado.",Feita em 31 de março de 2016,"Ótimo para passear, menos no domingo."
jujugs1801,"Curitiba, PR","Parque amplo com várias atrações diferentes para serem feitas , bom pra quem gosta de praticar esportes ",Feita em 31 de março de 2016,Lindo parque
Daniele B,"Guarulhos, SP","Lugar lindo e perfeito para fazer exercícios, tomar uma cerveja sábado de manhã, muito bem policiado, em frente tem o museu do carro e vários lugares para jogar vôlei não dá pra não ir. ",Feita em 31 de março de 2016,Parque lindo! 
alessandra t,"Curitiba, PR","parque lindo, com uma vista ótima da cidade, ótimo para ir com a família em qualquer horário, aos fins de semana geralmente fica cheio o que dificulta para quem vai com intuito de praticar esportes, em dias de sol principalmente o que resulta no estacionamento cheio e as vezes espera para encontrar um lugar  para estacionar. ",Feita em 31 de março de 2016,lugar lindo
Georgia Alessan... S,202 contribuições,"O parque é ótimo para dar caminhadas matinais, muito agradável, lugar para estacionar carro, caldo de cana, água de côco! ",Feita em 31 de março de 2016,caminhadas
Emanuelle D,25 contribuições,"Ótimo lugar para praticar qualquer tipo de atividade física, andar de patins, tirar fotos e para adotar um animalzinho caso queira.",Feita em 31 de março de 2016,Lugas ótimo para praticar atividades fisica
